日付,駅名,乗車人員数
2020-08-26,さっぽろ（東豊線）,22930
2020-08-26,大通（南北線）,32493
2020-08-26,大通（東西線）,17469
2020-08-26,大通（東豊線）,11347
2020-08-26,すすきの,8835
2020-08-27,さっぽろ（南北線）,40528
2020-08-27,さっぽろ（東豊線）,23130
2020-08-27,大通（南北線）,32204
2020-08-27,大通（東西線）,17261
2020-08-27,大通（東豊線）,11204
2020-08-27,すすきの,8680
2020-08-28,さっぽろ（南北線）,42941
2020-08-28,さっぽろ（東豊線）,23956
2020-08-28,大通（南北線）,34248
2020-08-28,大通（東西線）,17867
2020-08-28,大通（東豊線）,11357
2020-08-28,すすきの,9728
2020-08-29,さっぽろ（南北線）,32023
2020-08-29,さっぽろ（東豊線）,16348
2020-08-29,大通（南北線）,27835
2020-08-29,大通（東西線）,11463
2020-08-29,大通（東豊線）,7731
2020-08-29,すすきの,9829
2020-08-30,さっぽろ（南北線）,23918
2020-08-30,さっぽろ（東豊線）,11609
2020-08-30,大通（南北線）,20894
2020-08-30,大通（東西線）,7624
2020-08-30,大通（東豊線）,5290
2020-08-30,すすきの,7342
2020-08-31,さっぽろ（南北線）,39970
2020-08-31,さっぽろ（東豊線）,23325
2020-08-31,大通（南北線）,32322
2020-08-31,大通（東西線）,17630
2020-08-31,大通（東豊線）,11368
2020-08-31,すすきの,8238
2021-11-01,さっぽろ（南北線）,43229
2021-11-01,さっぽろ（東豊線）,24664
2021-11-01,大通（南北線）,33480
2021-11-01,大通（東西線）,17707
2021-11-01,大通（東豊線）,11747
2021-11-01,すすきの,8692
2021-11-02,さっぽろ（南北線）,45342
2021-11-02,さっぽろ（東豊線）,24922
2021-11-02,大通（南北線）,35519
2021-11-02,大通（東西線）,18222
2021-11-02,大通（東豊線）,12532
2021-11-02,すすきの,9826
2021-11-03,さっぽろ（南北線）,29697
2021-11-03,さっぽろ（東豊線）,14817
2021-11-03,大通（南北線）,25622
2021-11-03,大通（東西線）,10356
2021-11-03,大通（東豊線）,7393
2021-11-03,すすきの,8202
2021-11-04,さっぽろ（南北線）,44874
2021-11-04,さっぽろ（東豊線）,24886
2021-11-04,大通（南北線）,34368
2021-11-04,大通（東西線）,18235
2021-11-04,大通（東豊線）,12062
2021-11-04,すすきの,9077
2021-11-05,さっぽろ（南北線）,50446
2021-11-05,さっぽろ（東豊線）,25758
2021-11-05,大通（南北線）,37156
2021-11-05,大通（東西線）,18974
2021-11-05,大通（東豊線）,12459
2021-11-05,すすきの,11439
2021-11-06,さっぽろ（南北線）,41442
2021-11-06,さっぽろ（東豊線）,18514
2021-11-06,大通（南北線）,32360
2021-11-06,大通（東西線）,13256
2021-11-06,大通（東豊線）,8646
2021-11-06,すすきの,12396
2021-11-07,さっぽろ（南北線）,30071
2021-11-07,さっぽろ（東豊線）,13456
2021-11-07,大通（南北線）,24641
2021-11-07,大通（東西線）,9182
2021-11-07,大通（東豊線）,6239
2021-11-07,すすきの,9092
2021-11-08,さっぽろ（南北線）,43494
2021-11-08,さっぽろ（東豊線）,24594
2021-11-08,大通（南北線）,33632
2021-11-08,大通（東西線）,17361
2021-11-08,大通（東豊線）,11920
2021-11-08,すすきの,8759
2021-11-09,さっぽろ（南北線）,44732
2021-11-09,さっぽろ（東豊線）,24668
2021-11-09,大通（南北線）,33472
2021-11-09,大通（東西線）,17595
2021-11-09,大通（東豊線）,12195
2021-11-09,すすきの,8557
2021-11-10,さっぽろ（南北線）,44462
2021-11-10,さっぽろ（東豊線）,25291
2021-11-10,大通（南北線）,33873
2021-11-10,大通（東西線）,17616
2021-11-10,大通（東豊線）,12173
2021-11-10,すすきの,9127
2021-11-11,さっぽろ（南北線）,43785
2021-11-11,さっぽろ（東豊線）,24729
2021-11-11,大通（南北線）,33897
2021-11-11,大通（東西線）,17839
2021-11-11,大通（東豊線）,11901
2021-11-11,すすきの,9169
2021-11-12,さっぽろ（南北線）,47453
2021-11-12,さっぽろ（東豊線）,25837
2021-11-12,大通（南北線）,36830
2021-11-12,大通（東西線）,18384
2021-11-12,大通（東豊線）,12228
2021-11-12,すすきの,10927
2021-11-13,さっぽろ（南北線）,37811
2021-11-13,さっぽろ（東豊線）,17622
2021-11-13,大通（南北線）,31861
2021-11-13,大通（東西線）,12490
2021-11-13,大通（東豊線）,8437
2021-11-13,すすきの,11650
2021-11-14,さっぽろ（南北線）,28738
2021-11-14,さっぽろ（東豊線）,13974
2021-11-14,大通（南北線）,24383
2021-11-14,大通（東西線）,9165
2021-11-14,大通（東豊線）,6241
2021-11-14,すすきの,8688
2021-11-15,さっぽろ（南北線）,43884
2021-11-15,さっぽろ（東豊線）,25041
2021-11-15,大通（南北線）,33864
2021-11-15,大通（東西線）,17745
2021-11-15,大通（東豊線）,12023
2021-11-15,すすきの,8976
2021-11-16,さっぽろ（南北線）,44188
2021-11-16,さっぽろ（東豊線）,24688
2021-11-16,大通（南北線）,34345
2021-11-16,大通（東西線）,18013
2021-11-16,大通（東豊線）,12227
2021-11-16,すすきの,9190
